Experiment,Sigma,E2,Einf,TPR,PDE
0,0.0,0.003737742136765476,0.003737742136765476,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,1.0,0.0035660722603017003,0.0035660722603017003,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,2.0,0.003146901482687703,0.003146901482687703,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,3.0,0.0024947283060803294,0.0024947283060803294,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,4.0,0.0018926499360492066,0.0018926499360492066,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,5.0,0.00045708939951150107,0.00045708939951150107,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,6.0,0.00025566803274290617,0.00025566803274290617,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,7.0,0.0011161828260034534,0.0011161828260034534,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,8.0,0.002847459280187037,0.002847459280187037,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,9.0,0.0024026263323233543,0.0024026263323233543,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
1,10.0,0.00638580005541145,0.00638580005541145,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
1,11.0,0.006404510688558629,0.006404510688558629,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
1,12.0,0.010498287720858146,0.010498287720858146,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
1,13.0,0.01072159176105425,0.01072159176105425,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
1,14.0,0.016438055620885406,0.016438055620885406,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
1,15.0,0.01746992305256234,0.01746992305256234,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
1,16.0,0.02375726863719274,0.02375726863719274,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
1,17.0,0.02651322192097605,0.02651322192097605,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
1,18.0,0.0281000553529559,0.0281000553529559,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
1,19.0,0.03383559038181028,0.03383559038181028,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
1,20.0,0.03674270065090335,0.03674270065090335,1.0,ζ_t = (-0.96)∇•(ζ𝘂)
1,21.0,0.04614056684677825,0.04614056684677825,1.0,ζ_t = (-0.95)∇•(ζ𝘂)
1,22.0,0.04550910886137649,0.04550910886137649,1.0,ζ_t = (-0.95)∇•(ζ𝘂)
1,23.0,0.05689167621368563,0.05689167621368563,1.0,ζ_t = (-0.94)∇•(ζ𝘂)
1,24.0,0.057440065307301946,0.057440065307301946,1.0,ζ_t = (-0.94)∇•(ζ𝘂)
1,25.0,0.06311732271583992,0.06311732271583992,1.0,ζ_t = (-0.94)∇•(ζ𝘂)
1,26.0,0.06635471453033048,0.06635471453033048,1.0,ζ_t = (-0.93)∇•(ζ𝘂)
1,27.0,0.07949344749608211,0.07949344749608211,1.0,ζ_t = (-0.92)∇•(ζ𝘂)
1,28.0,0.07626202870514376,0.07626202870514376,1.0,ζ_t = (-0.92)∇•(ζ𝘂)
1,29.0,0.09142405752091687,0.09142405752091687,1.0,ζ_t = (-0.91)∇•(ζ𝘂)
1,30.0,0.09275631065112078,0.09275631065112078,1.0,ζ_t = (-0.91)∇•(ζ𝘂)
1,31.0,0.10771110798076322,0.10771110798076322,1.0,ζ_t = (-0.89)∇•(ζ𝘂)
1,32.0,0.11655923853345262,0.11655923853345262,1.0,ζ_t = (-0.88)∇•(ζ𝘂)
1,33.0,0.12175651741691074,0.12175651741691074,1.0,ζ_t = (-0.88)∇•(ζ𝘂)
1,34.0,0.12076384080025881,0.12076384080025881,1.0,ζ_t = (-0.88)∇•(ζ𝘂)
1,35.0,0.1463847065059941,0.1463847065059941,1.0,ζ_t = (-0.85)∇•(ζ𝘂)
1,36.0,0.15571487701882358,0.15571487701882358,1.0,ζ_t = (-0.84)∇•(ζ𝘂)
1,37.0,0.1624507894521151,0.1624507894521151,1.0,ζ_t = (-0.84)∇•(ζ𝘂)
1,38.0,0.16812909816405164,0.16812909816405164,1.0,ζ_t = (-0.83)∇•(ζ𝘂)
1,39.0,0.17851058411740395,0.17851058411740395,1.0,ζ_t = (-0.82)∇•(ζ𝘂)
1,40.0,0.24996394517805806,0.23671149032176786,0.3333333333333333,ζ_t = (-0.05)(uv)_xx + (-0.06)(ζv)_y + (-0.76)∇•(ζ𝘂)
